mock,org.mockito.Mockito,373
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.String>,44
when,org.mockito.Mockito,182
verify,org.mockito.Mockito,109
any,org.mockito.ArgumentMatchers,177
times,org.mockito.Mockito,98
eq,org.mockito.ArgumentMatchers,107
isA,org.mockito.ArgumentMatchers,2
anyString,org.mockito.ArgumentMatchers,20
doAnswer,org.mockito.Mockito,25
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.util.concurrent.ScheduledFuture<>>,4
anyLong,org.mockito.ArgumentMatchers,21
answerVoid,org.mockito.AdditionalAnswers,2
thenThrow,org.mockito.stubbing.OngoingStubbing<io.netty.buffer.ByteBuf>,7
anyInt,org.mockito.ArgumentMatchers,12
getArgument,org.mockito.invocation.InvocationOnMock,18
whenNew,org.powermock.api.mockito.PowerMockito,103
spy,org.powermock.api.mockito.PowerMockito,31
mockStatic,org.powermock.api.mockito.PowerMockito,29
doThrow,org.mockito.Mockito,5
anyBoolean,org.mockito.ArgumentMatchers,3
setInternalState,org.powermock.reflect.Whitebox,1
callRealMethod,org.mockito.invocation.InvocationOnMock,1
isSpy,org.mockito.MockingDetails,1
mockingDetails,org.mockito.Mockito,1
getInternalState,org.powermock.reflect.Whitebox,1
thenCallRealMethod,org.mockito.stubbing.OngoingStubbing<java.util.concurrent.CompletableFuture<java.lang.Long>>,6
defaultAnswer,org.mockito.MockSettings,1
useConstructor,org.mockito.MockSettings,1
withSettings,org.mockito.Mockito,1
forClass,org.mockito.ArgumentCaptor,1
atLeastOnce,org.mockito.Mockito,1
doNothing,org.powermock.api.mockito.PowerMockito,3
tick,org.jmock.lib.concurrent.DeterministicScheduler,3
same,org.mockito.ArgumentMatchers,14
