method, origin, count
getHostFreeMemory,com.cloud.agent.mockvm.MockVmMgr,2
allocVncPort,com.cloud.agent.mockvm.MockVmMgr,2
findByUrl,com.cloud.simulator.dao.MockSecStorageDao,12
getMountPoint,com.cloud.simulator.MockSecStorageVO,24
findByStoragePathAndType,com.cloud.simulator.dao.MockVolumeDao,8
findVolumeFromSecondary,com.cloud.agent.manager.MockStorageManagerImpl,2
findByUuid,com.cloud.simulator.dao.MockStoragePoolDao,8
setName,com.cloud.simulator.MockVolumeVO,16
setPath,com.cloud.simulator.MockVolumeVO,13
setPoolId,com.cloud.simulator.MockVolumeVO,13
getId,com.cloud.simulator.MockStoragePoolVO,15
setSize,com.cloud.simulator.MockVolumeVO,14
getSize,com.cloud.simulator.MockVolumeVO,24
setType,com.cloud.simulator.MockVolumeVO,17
persist,com.cloud.utils.db.GenericDao<com.cloud.simulator.MockVolumeVO|java.lang.Long>,13
getPath,com.cloud.simulator.MockVolumeVO,10
findByGuid,com.cloud.simulator.dao.MockHostDao,4
findByVmName,com.cloud.simulator.dao.MockVMDao,11
setCpu,com.cloud.simulator.MockVm,1
setMemory,com.cloud.simulator.MockVm,1
setPowerState,com.cloud.simulator.MockVm,3
setVncPort,com.cloud.simulator.MockVm,1
setHostId,com.cloud.simulator.MockVm,3
setBootargs,com.cloud.simulator.MockVm,1
getPodCidr,com.cloud.agent.manager.MockAgentManagerImpl,2
findByNameBottomUP,com.cloud.simulator.dao.MockConfigurationDao,3
getDataCenterId,com.cloud.simulator.MockHost,12
getPodId,com.cloud.simulator.MockHost,7
getClusterId,com.cloud.simulator.MockHost,6
getCount,com.cloud.simulator.MockConfigurationVO,7
setId,com.cloud.api.response.MockResponse,4
setZoneId,com.cloud.api.response.MockResponse,2
setPodId,com.cloud.api.response.MockResponse,2
setClusterId,com.cloud.api.response.MockResponse,2
getHostId,com.cloud.simulator.MockConfigurationVO,2
getName,com.cloud.simulator.MockConfigurationVO,6
setCount,com.cloud.api.response.MockResponse,2
getCommandName,com.cloud.api.commands.CleanupSimulatorMockCmd,1
getHost,com.cloud.agent.manager.MockAgentManager,1
getGuid,com.cloud.simulator.MockHost,3
getPrivateIpAddress,com.cloud.simulator.MockHost,1
getPrivateNetMask,com.cloud.simulator.MockHost,1
getPrivateMacAddress,com.cloud.simulator.MockHost,1
getStorageIpAddress,com.cloud.simulator.MockHost,1
getStorageNetMask,com.cloud.simulator.MockHost,1
getStorageMacAddress,com.cloud.simulator.MockHost,1
getPublicIpAddress,com.cloud.simulator.MockHost,1
getVersion,com.cloud.simulator.MockHost,1
getParameters,com.cloud.simulator.MockConfigurationVO,1
preinstallTemplates,com.cloud.agent.manager.MockStorageManager,1
createServerResources,com.cloud.agent.manager.MockAgentManager,1
createSearchBuilder,com.cloud.utils.db.GenericDaoBase<com.cloud.simulator.MockHostVO|java.lang.Long>,9
and,com.cloud.utils.db.GenericSearchBuilder<com.cloud.simulator.MockHostVO|com.cloud.simulator.MockHostVO>,30
entity,com.cloud.utils.db.SearchBase<com.cloud.utils.db.GenericSearchBuilder<com.cloud.simulator.MockHostVO|com.cloud.simulator.MockHostVO>|com.cloud.simulator.MockHostVO|com.cloud.simulator.MockHostVO>,30
done,com.cloud.utils.db.GenericSearchBuilder<com.cloud.simulator.MockHostVO|com.cloud.simulator.MockHostVO>,4
create,com.cloud.utils.db.SearchBase<com.cloud.utils.db.GenericSearchBuilder<com.cloud.simulator.MockHostVO|com.cloud.simulator.MockHostVO>|com.cloud.simulator.MockHostVO|com.cloud.simulator.MockHostVO>,13
setParameters,com.cloud.utils.db.SearchCriteria<com.cloud.simulator.MockHostVO>,16
findOneBy,com.cloud.utils.db.GenericDaoBase<com.cloud.simulator.MockHostVO|java.lang.Long>,7
remove,com.cloud.utils.db.GenericDaoBase<com.cloud.simulator.MockHostVO|java.lang.Long>,1
getUuid,com.cloud.simulator.MockStoragePoolVO,1
getUrl,com.cloud.simulator.MockSecStorageVO,1
setMockContext,com.cloud.network.resource.MockablePaloAltoResource,13
recalculateResourceCount,com.cloud.vpc.MockResourceLimitManagerImpl,2
